Unnamed: 0,Plant ID,Average flow (MGD),Sludge yield (tone),CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,Flow based EUI (kWh/m^3),Pollutant removal based EUI (kWh/kg COD removed),Treatment process,Latitude,Longitude,Annual HDD,annual_hdd,avg_temp,COD_out_CEPT,TN_out_CEPT,C/N ratio_CEPT,BOD removed (kg/a),SS removed (kg/a),Sludge yield by CEPT (tonne/a),CEPT electricity consumption (kWh/a),CEPT heat consumption (kWh/a),CEPT electricity recovery potential (kWh/a),CEPT heat recovery potential (kWh/a)
1104,559,3.1124036,2265.8,222.85,45.93,56.36,3.97,211.14,9.44,24.64,0.66,41.12,13.69,2.02,0.3,0.5,2.826136107,AO,41.7747999,121.4419,9701.67,9701.67,8.492704918032787,55.7125,34.952,1.5939717326619365,121183.30627676539,726377.3821795954,1799.1256404870956,2310208.8204216417,55525.04352788109,165895.21,189594.53
1105,566,16.4132248,996.0,453.01,27.4,197.04,3.56,165.75,6.27,35.14,0.95,47.87,10.83,4.41,0.35,0.27,0.634383591,AO,42.55575,124.02753,9937.65,9937.65,7.847950819672129,113.2525,40.689499999999995,2.78333476695462,2234211.1788382004,3007068.6389966034,8664.194314281604,6961834.696627632,273900.4825130898,3058547.79,3495483.19
1106,572,36.1963076,21048.0,173.68,25.61,73.22,3.37,81.48,5.3,15.15,0.9,24.93,9.51,2.71,0.3,0.23,1.553319376,AO,42.279408,123.883837,9937.65,9937.65,7.847950819672129,43.42,21.1905,2.0490314055826904,1830922.2342312501,3259951.7868377445,15735.687881945245,13289479.296550706,497451.04359395354,2506460.98,2864526.84
1107,574,7.84454,9275.0,230.77,28.62,114.6,7.12,170.49,4.96,15.56,0.46,25.81,11.08,2.95,0.2,0.29,1.434578283,AO,42.4398299,123.56467,9937.65,9937.65,7.847950819672129,57.6925,21.938499999999998,2.6297376757754636,621052.05529785,1478298.9864953645,4182.066782620364,3544464.114692407,132207.34301555887,850195.99,971652.56
1108,602,0.6878,130.6,194.54,25.04,66.26,1.69,208.13,5.31,37.53,2.04,42.64,9.83,5.28,0.33,0.44,2.595870206,AO,44.1517399,125.83949,10521.88,10521.88,6.251693989071038,48.635,36.244,1.3418772762388258,31483.97123345,158231.42608676,395.29459233675993,453584.6443967352,13231.075090261918,43100.33,49257.52
1109,614,40.23268,34227.74,344.9,22.86,159.71,6.05,368.51,8.11,18.88,0.61,29.28,9.94,5.45,0.19,0.34,1.05576947,AO,43.9012963,126.5120398,10593.11,10593.11,6.057076502732241,86.225,24.888,3.4645210543233684,4439018.720339845,16387931.011282312,30254.87853603231,21128179.90735065,1019529.5370028204,6076843.15,6944963.6
1110,627,5.611,3757.84,237.85,18.79,110.22,3.83,193.75,5.26,30.68,0.63,34.48,7.3,3.88,0.19,0.43,1.96293253,AO,41.09822,126.15505,10256.37,10256.37,6.977131147540984,59.4625,29.307999999999996,2.0288828988672036,427244.5970017499,1201649.655875,3135.586012125,3621154.6157424995,102304.1649041142,584881.16,668435.61
1111,687,0.25702,15.8,84.26,23.1,40.69,5.72,39.66,7.0,8.87,2.22,15.66,6.36,1.31,0.36,0.22,3.597122302,AO,45.20781,130.48812,11681.91,11681.91,3.0822131147540985,21.065,13.311,1.582525730598753,7224.8779174325,11267.187346488001,99.85394947148801,90583.84111442977,3710.735674762987,9890.58,11303.51
1112,697,26.28844,25507.78,243.64,42.8,86.68,8.24,196.39,14.29,24.81,2.18,29.13,14.65,2.67,0.87,0.16,0.796654053,AO,44.63519,129.67217,11456.64,11456.64,3.6977049180327866,60.91,24.760499999999997,2.4599664788675515,1574198.9618055802,5706634.685906744,14767.438440156744,7181559.622033135,538199.5771626607,2155016.86,2462876.41
1113,698,4.40192,3093.93,121.02,14.12,87.26,8.49,138.5,6.79,32.58,1.11,48.18,11.03,3.62,0.33,0.22,2.057998129,AO,44.91199,130.53835,11681.91,11681.91,3.0822131147540985,30.255,40.952999999999996,0.7387737162112666,265358.65546208003,673888.1280128,2191.0923920128,1561026.111840256,81424.56806944069,363265.63,415160.72
1114,725,11.56952,17949.0,469.13,25.25,247.92,2.25,364.28,4.3,28.62,0.94,38.01,11.42,7.73,0.31,0.22,0.495629449,AO,45.85221,130.89665,11617.09,11617.09,3.2593169398907107,117.2825,32.308499999999995,3.6300818670009445,1981539.83904216,4658504.889101504,8646.156885601504,4160575.13421203,319522.4533192975,2712650.6,3100172.11
1115,734,18.0501888,5665.67,113.12,17.16,42.15,2.93,99.85,5.92,11.5,1.18,17.09,9.19,2.59,0.34,0.12,1.25052105,AO,31.95294,118.80079,6726.26,6726.26,16.62224043715847,28.28,14.526499999999999,1.9467869066877779,525599.848910808,1992166.8294659713,8213.502840425972,3897071.6633845195,175745.00035963036,719525.65,822315.03
1116,736,4.1584388,2497.0,142.63,15.71,59.48,6.81,80.05,3.69,14.79,0.87,27.52,10.05,2.09,0.58,0.24,1.890954932,AO,31.36801,118.93551,6556.93,6556.93,17.084890710382513,35.6575,23.392,1.5243459302325582,170874.4690281626,367948.9238925196,1801.2328270400196,1583971.2719401002,37570.87564940845,233920.47,267337.68
1117,763,2.9930884,4402.91,336.91,36.17,182.3,4.78,175.86,3.94,16.44,0.31,28.66,5.92,4.36,0.05,0.49,1.629314358,AO,31.98102,120.16705,6684.15,6684.15,16.737295081967215,84.2275,24.361,3.457473010139157,376948.5840836305,581811.7651953682,1613.4358026628681,2178046.713985657,34306.688072406745,516027.88,589746.15
1118,813,0.6529756,621.25,81.38,29.55,24.07,2.21,34.96,2.63,5.31,0.45,10.12,5.29,0.91,0.04,0.57,10.9974918,AO,34.29552,117.556259,7016.53,7016.53,15.829153005464482,20.345,8.601999999999999,2.365147640083702,10857.97774773455,25232.73133765184,250.29301517015182,545150.541501403,5586.65732106471,14864.15,16987.6
1119,858,4.3195288,3579.72,260.16,11.34,127.03,1.67,128.8,4.18,28.86,0.15,33.17,8.09,4.11,0.05,0.39,1.567398119,AO,31.18099,120.90138,6294.7,6294.700000000001,17.801366120218578,65.04,28.1945,2.3068328929401125,379069.26740031113,614961.7777364097,2103.7683698214096,2543270.442099228,42126.354160130875,518931.01,593064.01
1120,860,7.1564504,8906.27,272.38,14.19,147.54,1.72,145.37,4.25,35.93,0.22,40.95,7.7,5.31,0.06,0.37,1.433053178,AO,31.34665,120.94753,6344.63,6344.63,17.66494535519126,68.095,34.807500000000005,1.9563312504488972,729429.5424956034,1149921.8933722202,3616.5267071772205,4018898.2362315445,72992.61009149135,998560.54,1141212.04
1121,878,5.0570676,1764.0,208.07,23.11,103.59,8.6,179.84,7.8,21.23,2.21,30.91,12.44,2.42,0.27,0.23,1.243512111,AO,30.8700381,120.6364785,6294.7,6294.700000000001,17.801366120218578,52.0175,26.2735,1.9798466135079074,361903.26066933287,1005265.8735209625,2748.2790418784625,1867699.275929369,55032.18791090841,495431.42,566207.34
1122,910,6.543874,3709.46,195.07,18.18,87.19,4.92,160.02,6.29,22.0,0.78,36.32,9.57,2.1,0.27,0.33,1.865566171,AO,30.9282,120.53006,6294.7,6294.700000000001,17.801366120218578,48.7675,30.872,1.579667660015548,394164.50241467525,1157457.5740593434,3412.926445796843,3316133.7042179373,68341.24433115212,539595.8,616680.91
1123,913,1.508454,639.5,161.85,14.77,88.47,7.13,144.04,7.09,27.16,2.26,37.33,10.05,1.97,0.23,0.23,1.563774816,AO,31.98438,120.56025,6709.44,6709.4400000000005,16.668196721311475,40.4625,31.7305,1.2751926379981406,92194.28533720574,240165.74856961437,760.0827031821144,555915.2868606423,16222.883136011947,126210.37,144240.43
1124,922,1.8788524,142.8,116.9,21.08,31.33,6.32,43.35,7.59,13.81,1.29,23.11,6.47,1.6,0.25,0.28,2.92214569,AO,32.552153,120.539402,6895.07,6895.070000000001,16.16101092896175,29.225,19.6435,1.4877694911802888,40665.76650074705,90028.0103572236,737.6097184997236,817753.5124666945,16178.797018611887,55669.85,63622.68
1125,971,5.49516,2212.46,87.43,20.62,30.57,3.1,112.74,6.54,22.43,0.48,26.74,11.03,1.28,0.11,0.32,4.78970214,AO,33.00305,118.49977,6923.97,6923.969999999999,16.082049180327868,21.8575,22.729,0.9616569140745305,116051.747575005,684785.0322070561,2578.7949604570563,2703189.798759141,56800.59785315634,158870.31,181566.07
1126,1007,3.452756,8931.0,427.63,20.74,153.84,3.63,189.71,7.59,23.85,0.72,31.22,3.05,4.08,0.09,0.44,1.081373344,AO,31.8328,119.72419,6684.15,6684.15,16.737295081967215,106.9075,26.537,4.028620416776576,366953.524833396,724022.3941356584,1914.0794887106586,2275588.927575213,40699.31252090194,502345.03,574108.61
1127,1012,4.7209868,3557.09,248.22,14.68,63.84,1.25,123.81,5.84,25.72,1.46,29.92,11.7,2.62,0.33,0.23,0.984841997,AO,31.99143,119.59709,6755.02,6755.02,16.543661202185795,62.055,25.432000000000002,2.4400361748977666,208209.99242552882,646077.1719850808,2273.253791107581,1737728.759709552,48848.97775064801,285031.34,325750.11
