Unnamed: 0,Plant ID,Average flow (MGD),Sludge yield (tone),CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,Flow based EUI (kWh/m^3),Pollutant removal based EUI (kWh/kg COD removed),Treatment process,Latitude,Longitude,Annual HDD,annual_hdd,avg_temp
2337,635,3.54036,1933,152.41,20.22,67.08,4.95,79.76,6.66,20.66,1.47,28.19,8.08,2.2,0.24,0.15,1.134730312,Other,45.009392,124.049805,10597.3,10597.3,6.045628415300546
2338,671,24.3264,12558.34,156.9,19.44,48.64,6.05,139.17,6.05,10.83,0.53,13.65,5.92,1.83,0.19,0.25,1.818710898,Other,45.763,126.75615,11236.35,11236.35,4.299590163934426
2339,677,4.2928132,2237.52,61.78,9.25,21.87,1.46,66.97,6.58,17.19,1.37,18.91,9.43,1.56,0.25,0.24,4.568817818,Other,45.71389,126.66504,11176.45,11176.45,4.463251366120219
2340,679,4.4888,1870.12,241.96,31.92,119.12,5.51,142.39,9.82,19.61,0.73,31.05,14.96,4.02,0.53,0.37,1.761569225,Other,47.330015,130.337073,12112.01,12112.009999999998,1.9070765027322407
2341,680,11.8173452,9559.57,377.9,42.47,168.49,6.92,218.23,11.39,21.9,2.21,32.55,12.61,4.65,0.31,0.31,0.924186865,Other,47.2528599,130.23924,12250.71,12250.71,1.5281147540983606
2342,722,0.62264,396.1,124.59,13.85,54.76,3.78,116.72,9.77,12.26,1.66,14.33,7.47,1.97,0.39,0.26,2.347841792,Other,46.176012,129.425798,11514.7,11514.7,3.539071038251367
2343,829,4.7630512,949.71,215.55,25.43,55.62,3.24,266.12,11.36,6.07,1.31,13.36,3.9,3.89,0.23,0.32,1.683147486,Other,31.96454,119.8164,6684.15,6684.15,16.737295081967215
2344,849,3.2650228,202.8,77.77,12.31,24.55,2.4,155.81,2.4,9.69,1.16,13.52,7.36,1.71,0.37,0.31,4.735716468,Other,31.25946,121.0525,6344.63,6344.63,17.66494535519126
2345,881,4.9878532,3672.01,148.96,15.72,91.25,6.53,90.75,6.02,24.51,1.08,30.15,11.42,2.61,0.3,0.32,2.401681177,Other,30.889847,120.610873,6294.7,6294.700000000001,17.801366120218578
2346,920,0.896312,705.3,223.6,19.68,34.14,3.38,80.93,4.94,17.96,1.25,30.54,9.87,6.5,0.32,0.31,1.520204002,Other,32.56175,120.70449,6895.07,6895.070000000001,16.16101092896175
2347,945,12.606288,12291.06,303.6,20.36,99.41,2.01,176.65,4,35.47,0.5,43.92,9.94,5.78,0.21,0.28,0.988560938,Other,31.971828,120.945359,6572.01,6572.01,17.043688524590163
2348,969,12.1600868,4976.8,144.89,21.02,50.74,3.91,128.28,5.47,23.72,0.45,33.83,11.52,4.6,0.23,0.26,2.098974732,Other,33.723585,119.182601,7096.26,7096.26,15.611311475409837
2349,995,12.7384904,12472.2,208.26,18.89,83.3,7.4,218.63,5.28,22.64,0.65,30.89,8.13,3.28,0.22,0.31,1.637006918,Other,33.238224,119.33121,6940.64,6940.64,16.03650273224044
2350,1083,29.0163272,18459.3,209.88,13.76,97.5,2.34,134.32,2.65,20.52,0.2,28.23,7.67,2.89,0.14,0.2,1.019783806,Other,29.2899,120.21615,6530.21,6530.21,17.15789617486339
2351,1091,32.6193132,17147.58,261.37,8.93,139.79,0.97,131.19,4.92,30.6,0.14,39.11,7.71,3.01,0.06,0.2,0.792267469,Other,30.45318,120.4479,6231.8,6231.8,17.97322404371585
