,Province,Treated volume,Sludge yield,CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,Electricity consumption,Treatment process
83 ,Tianjin,547.03 ,7033.34 ,195.66 ,17.45 ,103.35 ,4.50 ,64.19 ,2.70 ,52.66 ,0.32 ,56.61 ,5.22 ,4.12 ,0.08 ,0.40 ,A2O
84 ,Tianjin,161.90 ,1471.81 ,220.13 ,18.39 ,125.42 ,4.08 ,164.95 ,2.50 ,38.32 ,0.39 ,40.69 ,6.17 ,3.31 ,0.08 ,0.65 ,CAS
85 ,Tianjin,128.80 ,1404.58 ,178.95 ,20.60 ,51.20 ,3.12 ,154.88 ,4.10 ,30.58 ,0.37 ,46.01 ,10.52 ,3.43 ,0.17 ,1.04 ,A2O
86 ,Tianjin,7852.68 ,51018.82 ,433.08 ,15.18 ,163.10 ,5.15 ,201.76 ,3.18 ,44.74 ,0.35 ,55.32 ,4.98 ,5.75 ,0.10 ,0.27 ,AO
87 ,Tianjin,3023.85 ,11593.44 ,175.63 ,22.96 ,64.72 ,3.50 ,167.62 ,3.67 ,27.27 ,0.88 ,37.40 ,6.61 ,3.62 ,0.29 ,0.44 ,Other
88 ,Tianjin,1865.42 ,5338.94 ,270.22 ,18.68 ,72.58 ,2.56 ,125.87 ,3.01 ,28.19 ,0.19 ,37.09 ,6.94 ,3.62 ,0.06 ,0.42 ,OD
89 ,Tianjin,1360.46 ,9148.22 ,219.05 ,25.83 ,72.48 ,6.71 ,985.51 ,16.78 ,20.43 ,1.68 ,30.03 ,9.62 ,4.44 ,0.30 ,0.33 ,OD
90 ,Tianjin,222.52 ,1506.32 ,491.57 ,11.96 ,50.61 ,3.51 ,162.89 ,2.38 ,33.22 ,0.13 ,51.11 ,2.16 ,2.08 ,0.11 ,0.90 ,A2O
91 ,Tianjin,248.50 ,1631.68 ,172.68 ,10.35 ,57.57 ,3.10 ,107.36 ,0.84 ,13.57 ,0.29 ,15.55 ,2.44 ,2.11 ,0.14 ,0.92 ,A2O
92 ,Tianjin,627.32 ,3236.02 ,112.63 ,11.11 ,51.30 ,2.69 ,120.80 ,1.00 ,27.55 ,0.32 ,30.76 ,7.47 ,3.22 ,0.22 ,0.50 ,OD
93 ,Tianjin,1714.98 ,21443.67 ,276.24 ,13.74 ,108.05 ,2.56 ,106.94 ,2.27 ,26.02 ,0.15 ,33.47 ,6.78 ,4.33 ,0.22 ,0.40 ,A2O
94 ,Tianjin,2166.76 ,8813.00 ,192.41 ,19.97 ,108.44 ,2.39 ,196.08 ,1.83 ,22.69 ,1.05 ,27.91 ,7.27 ,2.45 ,0.04 ,0.38 ,Other
95 ,Tianjin,498.87 ,3970.29 ,272.02 ,17.67 ,108.41 ,4.28 ,74.65 ,4.92 ,31.33 ,0.22 ,35.60 ,5.63 ,9.25 ,0.79 ,0.35 ,CAS
96 ,Tianjin,200.86 ,2742.42 ,258.68 ,14.82 ,102.02 ,3.74 ,66.62 ,4.32 ,37.28 ,0.19 ,48.48 ,11.34 ,4.53 ,0.10 ,0.52 ,OD
97 ,Tianjin,3.76 ,0.00 ,255.18 ,27.49 ,128.30 ,7.32 ,140.48 ,6.26 ,43.50 ,4.61 ,65.66 ,12.52 ,4.90 ,0.45 ,1.08 ,CAS
98 ,Tianjin,6.64 ,0.00 ,323.42 ,40.22 ,117.86 ,8.62 ,138.68 ,7.04 ,40.64 ,3.72 ,58.92 ,13.05 ,5.06 ,0.44 ,0.63 ,CAS
