Plant ID,Longitude,Latitude,Province,Annual_HDD,Treatment_process,Average_flow__MGD_,Sludgeield__tone__file2,CODinf,CODeff,BODinf,COD removal,TN removal,COD/BOD,COD/TN,BODeff,SSinf,SSeff,NH3_Ninf,NH3_Neff,TNinf,TNeff,TPinf,TPeff,Flow based EUI (kWh/m^3),COD removal based EUI (kWh/kg COD removed),Current electricity consumption (kWh/a),Current heat consumption (kWh/a),Current electricity recovery potential (kWh/a),Current heat recovery potential (kWh/a),Current effective heat recovery potential (kWh/a),Recoverable energy density (kWh/m3),Current recovered heat waste,Efficiency score,Efficiency_Group,Optimal EUI (kWh/kg COD removed),Optimal EUI (kWh/m3),Energy gap,Selected_Process,Electricity recovery after selection (kWh/a),Heat recovery after selection (kWh/a),Electricity consumption after upgrade,Heat consumption after upgrade,Effective heat recovery after selection (kWh/a),Recoverable energy density after selection (kWh/m3),EUI (kWh/m3),EUI (kWH/kg COD removed),New efficiency score,Optimal EUI after selection (kWh/kg COD removed),Optimal EUI after selection (kWh/m3),Energy gap after selection
2878,106.74203,26.57642,Guizhou,7112.03,OD,71.3502,16609.24,208.46,14.26,137.93,0.931593591,0.506637168,1.511346335,9.223893805,4.77,140.28,5.57,17.89,1.24,22.6,11.15,3.07,0.2,0.31,1.596292482,30600000,376000,5990000,6850000,376000,0.064575167,0.0549,0.681356746,Inefficient,1.087644651,0.215034644,0.699698774,Current,5990000,6850000,30600000,376000,376000,0.064575167,0.314213067,1.617986955,0.434799043,0.70349918,0.136619541,0.52733579
2880,106.453832,26.004378,Guizhou,6750.46,CAS,1.408904,1126.6,104.02,17.18,35.53,0.834839454,0.47730913,2.92766676,5.553657234,8.73,165.09,11.45,14.53,4.91,18.73,9.79,1.27,0.27,0.33,3.800092123,647000,24200,23800,27200,24200,0.024657778,0.889,0.534026657,Inefficient,2.029350493,0.188660426,0.869300741,CEPT,47300,54100,394456.2497,79776.1554,54100,0.052089556,0.243614944,2.805330996,0.379883367,1.065698583,0.092545265,0.437145101
2881,105.782051,26.684144,Guizhou,7304.18,SBR,2.3168,2392.46,151.46,20.93,50.72,0.861811699,0.779016393,2.986198738,4.965901639,2.11,58.11,4.59,25.6,0.32,30.5,6.74,2.69,0.07,0.39,2.987818892,1260000,55600,71000,81100,55600,0.039549342,0.685,0.547790222,Inefficient,1.636697974,0.231007408,0.828796218,CEPT,111000,127000,739179.544,110020.184,110020.184,0.069045836,0.265286654,2.03238071,0.530732347,1.078650184,0.140796209,0.509604437
2883,106.858262,27.585286,Guizhou,6819.28,A2O,5.548374,1773.1,279,14.6,93.96,0.947670251,0.714734437,2.969348659,7.966876071,5.07,31.96,4.04,19.78,0.12,35.02,9.99,4.89,0.17,0.24,0.907715582,1850000,38500,311000,355000,38500,0.045590626,0.108,0.753427671,Inefficient,0.683898037,0.185844784,0.754684395,Current,311000,355000,1850000,38500,38500,0.045590626,0.246345913,0.931716767,0.802920132,0.74809415,0.197796093,0.769506945
2884,106.834534,27.537648,Guizhou,6819.28,A2O,2.786676,836.5599999999998,241.48,12.41,41.84,0.94860858,0.76951309,5.771510516,5.908490335,4.08,244.69,6.56,37.16,0.72,40.87,9.42,3.98,0.37,0.04,0.174619112,157000,18100,66300,75800,18100,0.021920481,0.239,1,Efficient,0.174619112,0.044700956,0.509619426,CEPT,110000,126000,226714.0281,185475.0745,126000,0.061294235,0.107054303,0.467343184,1.332869118,0.622907298,0.142689375,0.570435888
2885,106.93085,27.64119,Guizhou,6819.28,OD,38.86432,13963.73,117.59,9.59,64.22,0.918445446,0.610376399,1.831049517,5.981180061,2.23,72.28,5.26,10.84,0.6,19.66,7.66,1.88,0.27,0.19,1.759259259,10300000,303000,1520000,1740000,303000,0.033949212,0.174,1,Efficient,1.759259259,0.195642683,0.826473389,CEPT,2360000,2700000,7042232.417,1789671.772,1789671.772,0.07727816,0.164474046,1.522907834,0.827168181,1.259700902,0.136047697,0.431977449
2886,106.97428,27.59822,Guizhou,6819.28,A2O,4.8596328,807.6,161.26,14.09,58.9,0.912625574,0.759564891,2.737860781,6.048762191,4.4,98.15,9.16,18.97,1.97,26.66,6.41,2.65,0.39,0.25,1.698715771,1680000,17500,167000,191000,17500,0.02747812,0.0918,1,Efficient,1.698715771,0.252606326,0.891221568,CEPT,271000,309000,1084737.138,238622.9029,238622.9029,0.075899617,0.197091848,1.339212125,0.899456707,1.204563328,0.177275585,0.571855218
2887,106.91242,27.70897,Guizhou,6819.28,Other,7.2659192,5029.62,100.84,14.69,31.37,0.854323681,0.277378815,3.214536181,9.052064632,2.18,64.8,5.01,8.65,0.2,11.14,8.05,1.5,0.18,0.26,3.017991875,2630000,109000,134000,153000,109000,0.024205263,0.714,0.844319944,Inefficient,2.548150731,0.23038069,0.894933628,Current,134000,153000,2630000,109000,109000,0.024205263,0.272832165,3.166943292,0.243044927,0.769709502,0.066310474,0.634970738
2888,107.02259,27.70912,Guizhou,6819.28,A2O,26.3816912,38631.5,411.79,27.43,138.25,0.933388378,0.702979516,2.978589512,12.78057107,5.92,727.72,5.51,29.35,0.72,32.22,9.57,5.18,0.25,0.33,0.858570091,12200000,838000,2200000,2520000,838000,0.08334494,0.333,0.285619171,Inefficient,0.245224078,0.117244142,0.289133441,Current,2200000,2520000,12200000,838000,838000,0.08334494,0.357686414,0.930602596,0.498185343,0.463612574,0.178194129,0.532280102
2890,107.02259,27.70912,Guizhou,6819.28,Other,2.5022164,541.9,132.01,19.51,50.2,0.852208166,0.676246537,2.629681275,4.57098338,7.21,97.05,10.82,24.6,1.86,28.88,9.35,2.65,0.36,0.28,2.488888889,970000,11800,67800,77500,11800,0.023024081,0.152,1,Efficient,2.488888889,0.283413118,0.918761414,HRAS,156618.98,178993.12,903417.5898,24581.57678,24581.57678,0.052411762,0.268421204,2.38596626,0.427310749,1.019549029,0.114699266,0.543050587
