Plant ID,Average flow (MGD),Sludge yield (tone),CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,EUI (kWh/m3),Treatment process,Latitude,Longitude,annual_hdd,Current electricity consumption (kWh/a),Current heat consumption (kWh/a),Methane generation (m3/a),Current electricity recovery potential (kWh/a),Current heat recovery potential (kWh/a),Current effective heat recovery potential (kWh/a),Current energy self-sufficiency,Current recovered heat waste,COD_out_CEPT,TN_out_CEPT,C/N ratio_CEPT,BOD removed (kg/a),SS removed (kg/a),Sludge yield by CEPT (tonne/a),CEPT electricity recovery potential (kWh/a),CEPT heat recovery potential (kWh/a),COD_eff (mg/L),COD_removal (%),NHx_eff (mg/L),NHx_removal (%),C/N_ratio_HRAS,Sludge_VSS (g/a),Sludge_TSS (g/a),Sludge_COD (g/a),Electricity recovery potential (kWh/a)_HRAS,Heat recovery potential (kWh/a)_HRAS
1805,9.5370348,4279,219.61,20.64,95.47,8.6,101.28,6.98,22.45,0.6,28.72,9.57,3.59,0.31,0.33,A2O,36.89088,115.77263,7275.65,4.37E+06,9.90E+04,1.50E+05,5.22E+05,5.97E+05,9.90E+04,1.39E-01,1.66E-01,5.49E+01,2.44E+01,2.25E+00,6.29E+05,1.07E+06,4.35E+03,8.61E+05,9.84E+05,59.747133401541745,72.79398324231968,20.646838620661754,8.031899239814011,2.8937666680724403,1279832014.961992,1505684723.4846964,1899427292.0230088,1040096.69,1188681.93
1806,3.74308,559.79,103.47,19.88,44.57,4.72,36.79,5.14,20.15,1.63,20.43,4.26,1.46,0.27,0.29,A2O,36.05643,115.59162,7061.77,1.50E+06,1.26E+04,2.70E+04,9.40E+04,1.07E+05,1.26E+04,7.04E-02,1.17E-01,2.59E+01,1.74E+01,1.49E+00,1.15E+05,1.52E+05,1.44E+03,1.58E+05,1.80E+05,36.73793242,64.49412155926781,19.54710160063031,2.9920516097751317,1.8794567692552924,228206557.3474386,268478302.76169246,338892584.26509315,185572.28,212082.61
1807,10.30614,6545.47,112.15,10.33,54.49,1.79,80.5,6.68,21.62,0.61,25.49,11.11,3.3,0.27,0.2,A2O,36.275975,115.678391,7183.3,2.87E+06,1.50E+05,9.84E+04,3.42E+05,3.91E+05,1.50E+05,1.63E-01,3.82E-01,2.80E+01,2.17E+01,1.29E+00,3.88E+05,9.17E+05,4.47E+03,5.31E+05,6.07E+05,38.77806915123406,65.42303241084791,20.93892342318202,3.150215433940715,1.8519609803960533,685812580.0460082,806838329.5,1018386964.8714982,557652.78,637317.47
1812,12.61932,8507.31,106.36,16.11,44.73,3.52,121.64,5.17,23.67,0.37,28.82,7.72,2.25,0.19,0.21,A2O,36.12488,115.80453,7061.77,3.70E+06,1.91E+05,9.42E+04,3.28E+05,3.75E+05,1.91E+05,1.34E-01,5.10E-01,2.66E+01,2.45E+01,1.09E+00,3.90E+05,1.70E+06,6.05E+03,5.34E+05,6.10E+05,37.36432494927962,64.86994645611168,23.041902064474566,2.6535611978260887,1.6215816231111846,794022670.6809043,934144318.4481227,1179131808.0109384,645674.15,737913.31
1813,12.61932,11124.21,146.43,14,46.57,1.16,165.82,5.81,17.6,1.6,24.19,10.06,4.1,0.26,0.3,A2O,36.12488,115.80453,7061.77,5.28E+06,2.50E+05,1.04E+05,3.61E+05,4.13E+05,2.50E+05,1.11E-01,6.05E-01,3.66E+01,2.06E+01,1.78E+00,4.06E+05,2.31E+06,6.66E+03,5.56E+05,6.35E+05,54.391427955205025,62.85499695745065,16.693044573508235,5.153155832339581,3.2583288036937197,976508382.5490097,1148833391.234129,1449717695.3085363,793842.75,907248.85
1815,12.61932,8579.94,202.87,18.66,86.97,3.79,319.53,6.5,23.09,0.3,35.94,10.91,4.04,0.27,0.29,A2O,36.12488,115.80453,7061.77,5.09E+06,1.93E+05,1.90E+05,6.62E+05,7.56E+05,1.93E+05,1.62E-01,2.55E-01,5.07E+01,3.05E+01,1.66E+00,7.58E+05,4.46E+06,8.81E+03,1.04E+06,1.19E+06,56.89459942674026,71.95514397065102,21.478122065506113,6.980848568617957,2.648955958682861,1563379550.8161874,1839270059.7837496,2320401491.0395136,1270615.58,1452132.1
1817,12.61932,9451.2,128.93,13.89,61.36,2.01,288.14,5.24,18.6,0.14,23.25,8.48,2.49,0.17,0.56,A2O,36.12488,115.80453,7061.77,9.80E+06,2.12E+05,1.36E+05,4.72E+05,5.40E+05,2.12E+05,6.84E-02,3.93E-01,3.22E+01,1.98E+01,1.63E+00,5.35E+05,4.02E+06,8.37E+03,7.32E+05,8.37E+05,42.67776848335183,66.89849648,17.75996054167895,4.516341173769093,2.4030328436370083,972553689.2526573,1144180810.885479,1443989938.3248012,790706.32,903664.36
1825,12.61932,5580.62,116.93,13.38,21.29,2.26,114,7.66,9.1,1.01,20.05,8.98,1.23,0.19,0.26,A2O,36.12488,115.80453,7061.77,4.56E+06,1.25E+05,4.35E+04,1.51E+05,1.73E+05,1.25E+05,5.91E-02,7.24E-01,2.92E+01,1.70E+01,1.72E+00,1.86E+05,1.59E+06,5.94E+03,2.54E+05,2.90E+05,59.179054418770704,49.38933172088369,8.607754327760409,5.409293101533964,6.875086365780154,538684186.8603992,633746102.2,799842353.5697641,437981.17,500549.91
1828,12.61932,12369.72,391.76,31.47,194.69,3.49,256.6,6.97,10.34,1.33,24.04,4.64,4.79,0.22,0.35,A2O,36.12488,115.80453,7061.77,6.15E+06,2.78E+05,4.37E+05,1.52E+06,1.74E+06,2.78E+05,2.80E-01,1.60E-01,9.79E+01,2.04E+01,4.79E+00,1.70E+06,3.58E+06,7.93E+03,2.32E+06,2.66E+06,87.01549083598334,77.78857187155828,6.222847888079305,39.81771868395256,13.983226394248383,2879087381.384792,3387161625.1585784,4269843598.727653,2338099.61,2672113.84
1829,12.61932,17927,443.64,36.75,161.93,7.81,244.56,7.06,23.24,0.97,38.48,9.78,3.35,0.21,0.34,A2O,36.12488,115.80453,7061.77,6.00E+06,4.03E+05,3.52E+05,1.23E+06,1.40E+06,4.03E+05,2.54E-01,2.87E-01,1.11E+02,3.27E+01,3.39E+00,1.41E+06,3.41E+06,7.76E+03,1.93E+06,2.21E+06,97.20950370573338,78.08820131058215,18.688380571419348,19.58528153434015,5.201601248125187,3228668903.310819,3798434003.895082,4789368701.043634,2622583.43,2997238.21
1832,12.61932,6718.1,101.11,25.51,33.67,3.2,108.33,3.57,10.05,0.24,14.86,7.22,1.39,0.12,0.4,A2O,36.12488,115.80453,7061.77,7.00E+06,1.51E+05,6.97E+04,2.42E+05,2.77E+05,1.51E+05,5.50E-02,5.45E-01,2.53E+01,1.26E+01,2.00E+00,2.94E+05,1.51E+06,5.86E+03,4.02E+05,4.59E+05,41.321695091085736,59.13194037,9.522355305643853,5.250195963742767,4.3394405863636045,659024019.1064475,775322375.4,978614382.7962332,535873.94,612427.36
1833,12.61932,18506.62,278.17,19.71,102.83,7.4,154.44,5.73,26.46,0.59,33.5,7.93,3.42,0.3,0.55,A2O,36.12488,115.80453,7061.77,9.66E+06,4.16E+05,2.18E+05,7.59E+05,8.68E+05,4.16E+05,1.17E-01,4.79E-01,6.95E+01,2.85E+01,2.44E+00,8.96E+05,2.15E+06,6.50E+03,1.23E+06,1.40E+06,73.50728788,73.57468890363162,24.04908243847924,9.111555410131375,3.056552700703212,2071966955.8176367,2437608183.314867,3074607105.813725,1683606.79,1924122.04
1837,12.61932,18574.22,288.26,15.1,123.72,3,141.34,3,39.13,0.29,52.83,6.97,4.9,0.12,0.42,A2O,36.12488,115.80453,7061.77,7.40E+06,4.17E+05,2.76E+05,9.60E+05,1.10E+06,4.17E+05,1.76E-01,3.80E-01,7.21E+01,4.49E+01,1.60E+00,1.08E+06,1.97E+06,6.32E+03,1.48E+06,1.69E+06,69.53582424,75.87739393508609,36.512674929328135,6.688793945,1.9044297460350526,2234942509.4630556,2629344128.780065,3316405603.538032,1816011.87,2075442.13
1839,12.61932,3220.88,276,26.93,115,2.66,211.03,6.71,24.45,1.06,31.52,8.08,4.18,0.19,0.25,A2O,36.12488,115.80453,7061.77,4.37E+06,7.24E+04,2.57E+05,8.94E+05,1.02E+06,7.24E+04,2.17E-01,7.08E-02,6.90E+01,2.68E+01,2.58E+00,1.00E+06,2.94E+06,7.29E+03,1.37E+06,1.57E+06,68.29633003531764,75.25495288575449,21.972341171240593,10.133573941756262,3.1082864362542355,2129269475.7835836,2505022912.686569,3159560309.023412,1730125.83,1977286.67
1842,12.61932,5065.49,157.77,8.27,58.28,0.54,77.52,3.03,13.36,0.22,17.14,6.89,1.7,0.19,0.19,A2O,36.12488,115.80453,7061.77,3.33E+06,1.14E+05,1.32E+05,4.59E+05,5.25E+05,1.14E+05,1.66E-01,2.17E-01,3.94E+01,1.46E+01,2.71E+00,5.08E+05,1.08E+06,5.43E+03,6.96E+05,7.95E+05,52.167616041683935,66.93438801,12.269795059895186,8.160216618,4.251710463542948,1143125654.2092633,1344853710.8344276,1696887455.5229874,929189.04,1061930.34
1847,12.61932,4692.83,263.31,17.77,81.25,3,114.29,3.1,23.96,0.85,34.83,10.92,2.17,0.12,0.36,A2O,36.12488,115.80453,7061.77,6.30E+06,1.05E+05,1.79E+05,6.23E+05,7.12E+05,1.05E+05,1.14E-01,1.48E-01,6.58E+01,2.96E+01,2.22E+00,7.08E+05,1.59E+06,5.94E+03,9.70E+05,1.11E+06,81.30918834476479,69.12035686272273,21.894251691701122,8.621654041314187,3.7137231036575926,1804144717.5817032,2122523197.1549454,2677364622,1466083.01,1675523.44
1851,12.61932,5982.89,142.2,7.98,52.34,0.68,77.04,4,15.78,0.3,19.43,7.88,2.1,0.14,0.16,A2O,36.12488,115.80453,7061.77,2.81E+06,1.34E+05,1.18E+05,4.11E+05,4.70E+05,1.34E+05,1.85E-01,2.86E-01,3.56E+01,1.65E+01,2.15E+00,4.56E+05,1.07E+06,5.42E+03,6.25E+05,7.14E+05,48.62466453358665,65.80543985,14.847717093370235,5.908003210581521,3.2748916367283436,1025489152.3816147,1206457826.3313115,1522437309.1306598,833662.87,952757.57
1853,12.61932,7902.96,161.24,10.73,59.52,2.17,47.92,6.42,23.7,0.19,26.32,10.07,2.65,0.15,0.2,A2O,36.12488,115.80453,7061.77,3.52E+06,1.78E+05,1.31E+05,4.56E+05,5.21E+05,1.78E+05,1.71E-01,3.40E-01,4.03E+01,2.24E+01,1.80E+00,5.19E+05,6.68E+05,5.02E+03,7.10E+05,8.12E+05,52.40632649017206,67.49793693241624,22.583383045287228,4.711463943935746,2.3205702345427994,1181151561.037081,1389590071.8083305,1753432085.5684383,960152,1097316.57
1854,12.61932,1443,57.79,14.91,24.32,3.99,74.42,7.18,8.5,0.72,15.91,5.8,1.15,0.26,0.18,A2O,36.12488,115.80453,7061.77,3.14E+06,3.24E+04,4.65E+04,1.62E+05,1.85E+05,3.24E+04,6.11E-02,1.75E-01,1.44E+01,1.35E+01,1.07E+00,2.12E+05,1.04E+06,5.39E+03,2.90E+05,3.32E+05,24.603884573115035,57.42535979734378,8.268741118735338,2.7206927207607254,2.975529674930502,401826419.35708505,472736963.9495118,596956324.1876025,326883.95,373581.66
1855,12.61932,11995.92,219.06,23.33,112.84,2.87,114.13,17.52,23.39,3.72,28.86,11.64,3.23,0.33,0.33,A2O,36.12488,115.80453,7061.77,5.80E+06,2.69E+05,2.51E+05,8.75E+05,1.00E+06,2.69E+05,1.89E-01,2.69E-01,5.48E+01,2.45E+01,2.23E+00,9.84E+05,1.59E+06,5.94E+03,1.35E+06,1.54E+06,59.61479189576571,72.78608970338459,21.594184372183218,7.677706831196164,2.7606873623140475,1690216534.0499675,1988490040.0587854,2508505367.548226,1373618.33,1569849.51
1856,12.61932,4493.09,126.02,16.78,60.97,3.48,81.61,6.34,18.69,1.04,21.2,9.12,2.47,0.22,0.34,A2O,36.12488,115.80453,7061.77,5.95E+06,1.01E+05,1.31E+05,4.57E+05,5.23E+05,1.01E+05,9.23E-02,1.93E-01,3.15E+01,1.80E+01,1.75E+00,5.32E+05,1.14E+06,5.49E+03,7.28E+05,8.32E+05,42.029634054306584,66.64844147412586,17.877965532020156,4.3447537077573335,2.3509181723742456,949320348.7783685,1116847469.1510217,1409522254.7283733,771832.35,882094.12
1857,12.61932,15704,130.22,10.45,56.7,2.91,183.95,4.35,16.79,0.52,24.4,10.66,1.76,0.2,0.28,A2O,36.12488,115.80453,7061.77,4.94E+06,3.53E+05,1.23E+05,4.28E+05,4.89E+05,3.53E+05,1.47E-01,7.21E-01,3.26E+01,2.07E+01,1.57E+00,4.94E+05,2.57E+06,6.92E+03,6.77E+05,7.73E+05,43.03516577404733,66.95195379047203,15.936476332829056,5.0835239259734575,2.7004191438100476,981294021.4597044,1154463554.6584759,1456937736.6459632,797796.33,911767.23
1860,12.61932,21443.39,332.81,15.11,103.12,0.59,228.07,2.12,29.72,1.05,41.27,8.52,3.65,0.21,0.35,A2O,36.12488,115.80453,7061.77,6.19E+06,4.82E+05,2.34E+05,8.16E+05,9.32E+05,4.82E+05,1.95E-01,5.17E-01,8.32E+01,3.51E+01,2.37E+00,8.99E+05,3.18E+06,7.53E+03,1.23E+06,1.41E+06,93.44895014292048,71.92123129024955,26.86703817742137,9.599467774490673,3.478200668261732,2300371709.8094053,2706319658.5993004,3413326228.416541,1869084.08,2136096.1
1863,12.61932,5682.78,168.26,27.74,44.13,8.16,44.8,10.07,22.9,3.56,43.72,8.8,1.89,0.47,0.16,A2O,36.12488,115.80453,7061.77,2.81E+06,1.28E+05,8.23E+04,2.86E+05,3.27E+05,1.28E+05,1.41E-01,3.90E-01,4.21E+01,3.72E+01,1.13E+00,3.85E+05,6.25E+05,4.97E+03,5.27E+05,6.02E+05,66.00093809433966,60.77443355857621,21.87607639230841,4.471282129657596,3.0170372835937562,1030660244.9352531,1212541464.6297095,1530001472.643192,837804.89,957491.3
1866,12.61932,4529.77,162.31,19.44,75.55,5.72,98.04,7.26,13.99,0.26,20.83,8.77,2.68,0.67,0.23,A2O,36.12488,115.80453,7061.77,4.03E+06,1.02E+05,1.60E+05,5.56E+05,6.35E+05,1.02E+05,1.59E-01,1.60E-01,4.06E+01,1.77E+01,2.29E+00,6.59E+05,1.37E+06,5.72E+03,9.02E+05,1.03E+06,49.91961382882535,69.24427711,12.808763641275002,8.443433586,3.8973015059755043,1231846127.3493898,1449230738.0581057,1828540971.375226,1001280.45,1144320.52
1868,12.61932,13103.06,115.17,18.39,79.72,9.96,58.02,8.49,24.23,0.46,29.35,12.01,2.52,0.43,0.43,A2O,36.12488,115.80453,7061.77,7.55E+06,2.94E+05,1.60E+05,5.55E+05,6.34E+05,2.94E+05,1.08E-01,4.64E-01,2.88E+01,2.49E+01,1.15E+00,6.95E+05,8.09E+05,5.16E+03,9.51E+05,1.09E+06,39.42819167715869,65.76522386284736,23.521717436113907,2.9231636974250677,1.6762462938451463,865118607.9751451,1017786597.6178178,1284627895.4279296,703442.15,803933.89
1870,12.61932,15952,352.98,17.27,178.18,4.86,174,7.91,30.83,0.51,48.26,9.88,6.83,0.23,0.31,A2O,36.12488,115.80453,7061.77,5.47E+06,3.58E+05,3.96E+05,1.38E+06,1.58E+06,3.58E+05,2.98E-01,2.27E-01,8.82E+01,4.10E+01,2.15E+00,1.55E+06,2.43E+06,6.78E+03,2.13E+06,2.43E+06,78.09034201543008,77.87683664359733,27.364747246803322,11.239872699308066,2.853684023138653,2712370390.237738,3191023988.514986,4024154787.024655,2203564.25,2518359.15
1871,12.61932,4658.04,112.2,8.91,53.41,1.06,100.86,1.9,17.43,1.15,21.6,9.35,4.28,0.3,0.16,A2O,36.12488,115.80453,7061.77,2.81E+06,1.05E+05,1.20E+05,4.17E+05,4.76E+05,1.05E+05,1.79E-01,2.20E-01,2.81E+01,1.84E+01,1.53E+00,4.66E+05,1.41E+06,5.76E+03,6.37E+05,7.28E+05,38.90794147311146,65.32269030916983,16.747190876324535,3.9174361656653196,2.3232518074488255,837720815.4872259,985553900.5732069,1243935459.0579762,681159.61,778468.13
1872,12.61932,4248.01,154.61,21.56,70.21,3.63,129.83,4.16,18.91,2.14,28.69,9.78,2.39,0.35,0.18,A2O,36.12488,115.80453,7061.77,3.16E+06,9.54E+04,1.52E+05,5.30E+05,6.05E+05,9.54E+04,1.92E-01,1.58E-01,3.87E+01,2.44E+01,1.58E+00,6.12E+05,1.81E+06,6.16E+03,8.38E+05,9.58E+05,48.07430059744445,68.90608589519148,17.814229161457057,5.7946633450182095,2.698646130670544,1177856387.366345,1385713396.9015822,1748548120.758684,957477.62,1094260.13
1874,12.61932,9218.26,179.86,21.45,76.98,2.52,120.58,7,43.09,1.29,45.33,10.93,3.37,0.67,0.18,A2O,36.12488,115.80453,7061.77,3.18E+06,2.07E+05,1.70E+05,5.92E+05,6.77E+05,2.07E+05,2.36E-01,3.06E-01,4.50E+01,3.85E+01,1.17E+00,6.71E+05,1.68E+06,6.03E+03,9.19E+05,1.05E+06,52.43511361419503,70.84670654164627,41.738618966580496,3.136182486469034,1.2562733246200375,1390337805.227819,1635691535.5621397,2063866639.7349937,1130141.11,1291589.84
1875,12.61932,7178.9,190.77,15.09,73.56,3.19,66.12,7.08,35.91,1.1,38.05,11.37,2.91,0.18,0.22,A2O,36.12488,115.80453,7061.77,3.86E+06,1.61E+05,1.61E+05,5.60E+05,6.40E+05,1.61E+05,1.79E-01,2.52E-01,4.77E+01,3.23E+01,1.47E+00,6.41E+05,9.22E+05,5.27E+03,8.78E+05,1.00E+06,56.18410186371292,70.54877503605759,34.464620374726415,4.0250059183335605,1.6301964522700452,1447312042.0263124,1702720049.4427207,2148327729.0385976,1176390.68,1344446.49
1876,12.61932,10265.28,240.02,22.56,92.68,5.33,199.96,4.44,27.54,0.62,32.88,9.57,3.11,0.22,0.45,A2O,36.12488,115.80453,7061.77,7.89E+06,2.31E+05,2.00E+05,6.95E+05,7.94E+05,2.31E+05,1.14E-01,2.90E-01,6.00E+01,2.79E+01,2.15E+00,8.08E+05,2.79E+06,7.14E+03,1.11E+06,1.26E+06,64.81519457644828,72.99591926654101,25.537029891235786,7.272948833566496,2.5380866472139196,1825444630.3500018,2147581918.0588255,2709074489.315957,1483446.84,1695367.82
1877,12.61932,7419.45,190.05,15.23,87.39,6.76,99.53,7.57,24.4,1.51,32.88,8.54,2.01,0.33,0.21,A2O,36.12488,115.80453,7061.77,3.69E+06,1.67E+05,1.84E+05,6.42E+05,7.33E+05,1.67E+05,2.09E-01,2.27E-01,4.75E+01,2.79E+01,1.70E+00,7.62E+05,1.39E+06,5.74E+03,1.04E+06,1.19E+06,54.59486041,71.27342256630897,22.93148375758299,6.018509190233648,2.3807818538857677,1463630829.3153484,1721918622.7239392,2172479035.769383,1189615.56,1359560.64
1880,12.61932,8626.5,326.31,28.56,110.05,5.4,183.98,7.34,50.9,2.75,58.11,9.74,2.91,0.23,0.26,A2O,36.12488,115.80453,7061.77,4.57E+06,1.94E+05,2.39E+05,8.33E+05,9.52E+05,1.94E+05,2.16E-01,2.04E-01,8.16E+01,4.94E+01,1.65E+00,9.59E+05,2.57E+06,6.92E+03,1.31E+06,1.50E+06,86.30623322717337,73.55084636475334,48.03296193221889,5.632687755955028,1.7968126418887789,2348908954.7234764,2763422299.6746783,3485444914.2798724,1908575.15,2181228.74
1882,12.61932,11012,220.97,22.43,57.16,2.63,103,4.25,35.66,0.54,39.3,11.3,3.24,0.22,0.34,A2O,36.12488,115.80453,7061.77,5.97E+06,2.47E+05,1.25E+05,4.34E+05,4.96E+05,2.47E+05,1.10E-01,4.99E-01,5.52E+01,3.34E+01,1.65E+00,4.98E+05,1.44E+06,5.79E+03,6.82E+05,7.80E+05,79.68510769,63.93849495870978,34.156481878650766,4.216259454148152,2.332942484,1390110808.9570854,1635424481.125983,2063286341.484686,1129823.35,1291226.68
1883,12.61932,20031.54,701.03,23.04,242.25,2.51,399.69,3.28,41.25,0.58,55.78,8.34,7.79,0.16,0.69,A2O,36.12488,115.80453,7061.77,1.21E+07,4.50E+05,5.48E+05,1.91E+06,2.18E+06,4.50E+05,1.88E-01,2.06E-01,1.75E+02,4.74E+01,3.70E+00,2.11E+06,5.58E+06,9.92E+03,2.89E+06,3.30E+06,129.49394819910307,81.52804470577534,33.12847155448898,19.68855380729944,3.9088416133570867,4860785174.566413,5718570793.607546,7208926404.054668,3947495.41,4511423.32
1886,12.61932,14597.69,351.39,28.85,65.01,8.21,299,9,30.47,0.71,45.65,8.27,3.26,0.16,0.44,A2O,36.12488,115.80453,7061.77,7.73E+06,3.28E+05,1.30E+05,4.52E+05,5.16E+05,3.28E+05,9.68E-02,6.35E-01,8.78E+01,3.88E+01,2.26E+00,5.67E+05,4.17E+06,8.52E+03,7.76E+05,8.87E+05,125.35868388227938,64.32491423140118,27.916542286892724,8.380235356440021,4.490480325034284,2010225025.6124237,2364970618.367557,2983085351.5698943,1633490.91,1866846.75
1887,12.61932,5244.56,230.96,15.85,73.27,5.03,137.53,5.39,26.04,0.27,31.77,7.07,4.37,0.05,0.43,A2O,36.12488,115.80453,7061.77,7.52E+06,1.18E+05,1.56E+05,5.43E+05,6.21E+05,1.18E+05,8.65E-02,1.90E-01,5.77E+01,2.70E+01,2.14E+00,6.39E+05,1.92E+06,6.27E+03,8.74E+05,9.99E+05,73.37039674054994,68.23242260973765,24.30128684957642,6.677085831119732,3.019198003575222,1596812873.2497165,1878603380.2937844,2369904555.4769883,1297722.69,1483111.64
1889,12.61932,5034,138.04,22.29,56.12,7.63,115.07,10.36,20.89,2.86,31.16,12.48,3.22,0.58,0.17,A2O,36.12488,115.80453,7061.77,2.98E+06,1.13E+05,1.11E+05,3.86E+05,4.41E+05,1.13E+05,1.61E-01,2.56E-01,3.45E+01,2.65E+01,1.30E+00,4.89E+05,1.61E+06,5.95E+03,6.70E+05,7.65E+05,44.57391395689574,67.70942193791963,19.962197776758252,4.441370144766627,2.2329161575982686,1047154664.3651274,1231946663.9589734,1554682850.883894,851320.03,972937.17
1891,12.61932,4427.35,130.41,13.99,48.51,1.2,106.84,6.2,12.68,1.12,18.66,9.34,2.66,0.19,0.13,A2O,36.12488,115.80453,7061.77,2.28E+06,9.95E+04,1.08E+05,3.76E+05,4.30E+05,9.95E+04,2.00E-01,2.31E-01,3.26E+01,1.59E+01,2.06E+00,4.23E+05,1.49E+06,5.84E+03,5.79E+05,6.62E+05,45.73320529957934,64.93121286743398,11.853269570565839,6.519956068,3.858277669913498,936293663.9734173,1101521957.615785,1390074860.2366576,761183.26,869923.73
1892,12.61932,4878,159.33,23.4,67.88,2.25,66.02,2.03,11.52,0.31,18.32,4.65,0.77,0.24,0.3,A2O,36.12488,115.80453,7061.77,5.25E+06,1.10E+05,1.50E+05,5.22E+05,5.97E+05,1.10E+05,1.18E-01,1.84E-01,3.98E+01,1.56E+01,2.56E+00,5.92E+05,9.21E+05,5.27E+03,8.10E+05,9.26E+05,49.59003524594513,68.87589578488348,10.365355310049313,10.02295737804415,4.784209876323979,1202320469.6350124,1414494670.1588383,1784673507.6034698,977259.31,1116867.79
1895,11.0948656,9835.5,722.2,26.76,206.77,8.03,262.13,10.59,30.88,2.43,113.26,10.86,5.37,0.28,0.39,A2O,37.39516,118.04289,7525.079999999999,6.02E+06,2.35E+05,4.00E+05,1.39E+06,1.59E+06,2.35E+05,2.60E-01,1.48E-01,1.81E+02,9.63E+01,1.88E+00,1.58E+06,3.21E+06,7.04E+03,2.17E+06,2.48E+06,153.7168668835447,78.71547121523889,23.041913297168687,25.38240512574907,6.6711850227486496,4124525894.0966935,4852383404.819639,6117553551.631151,3349876.69,3828430.51
1897,0.5792,708.9,115.79,14.69,51.53,3.35,103.5,9.1,18.18,1.01,25.98,6.79,2.45,0.41,0.62,A2O,37.06451,118.298558,7453.620000000001,4.99E+05,1.68E+04,5.06E+03,1.76E+04,2.01E+04,1.68E+04,6.67E-02,8.36E-01,2.89E+01,2.21E+01,1.31E+00,2.06E+04,6.63E+04,2.66E+02,2.82E+04,3.23E+04,39.721449182382024,65.69526800036098,17.464271091897555,3.936902684831932,2.274440712318681,39793512.145403005,46815896.641650595,59088252.87027174,32355.8,36978.06
1903,16.2217268,25065.22,298.45,26.38,116.17,4.52,201.27,4.14,22.07,0.31,27.04,8.82,2.77,0.11,0.29,A2O,37.406065,117.988826,7525.079999999999,6.60E+06,6.00E+05,3.28E+05,1.14E+06,1.31E+06,6.00E+05,2.42E-01,4.60E-01,7.46E+01,2.30E+01,3.25E+00,1.30E+06,3.61E+06,9.20E+03,1.78E+06,2.04E+06,73.43792265366386,75.39355917116305,19.34057615898432,12.367122070755237,3.7970907407300576,2913556703.2273307,3427713768.5027423,4323055424,2367237.57,2705414.37
1914,10.2393872,14858.41,832.7,34.13,381.72,5.38,563.06,7.5,53.35,2.01,62.79,9.78,14.37,0.32,0.51,A2O,34.7943799,116.08724,6970.74,7.27E+06,3.29E+05,6.98E+05,2.43E+06,2.78E+06,3.29E+05,3.63E-01,1.19E-01,2.08E+02,5.34E+01,3.90E+00,2.70E+06,6.37E+06,9.90E+03,3.70E+06,4.22E+06,125.14702464188647,84.97093495353832,42.57229216942842,20.201889091980465,2.9396355766757556,4810787780.320302,5659750330,7133104673.436061,3905976.61,4463973.27
1917,7.9278,732.66,96.52,10.82,56.18,3.9,98.05,7.99,9.18,0.44,22.93,5.33,3.09,0.39,0.29,A2O,35.0380516,115.5752563,6986.290000000001,3.18E+06,1.63E+04,7.51E+04,2.61E+05,2.99E+05,1.63E+04,8.69E-02,5.45E-02,2.41E+01,1.95E+01,1.24E+00,3.08E+05,8.59E+05,3.59E+03,4.21E+05,4.81E+05,35.57369435136864,63.14370663969267,8.633973677912715,5.947999151277607,4.120199537,441523921.86125964,519439908.07207024,655646855.5396621,359021.97,410310.82
1918,13.85012,17269.56,256.41,11.09,135.1,1.05,189.18,4.37,12.73,0.22,21.46,5.02,7.79,0.16,0.38,A2O,35.2249368,115.4819882,6986.290000000001,7.34E+06,3.84E+05,3.36E+05,1.17E+06,1.34E+06,3.84E+05,2.01E-01,2.87E-01,6.41E+01,1.82E+01,3.51E+00,1.29E+06,2.90E+06,7.67E+03,1.77E+06,2.02E+06,66.61831243518125,74.01883216911148,10.462738665192715,17.810379692123217,6.367196445114899,2139958147.341304,2517597820.401534,3175214790.959242,1738697.98,1987083.41
1923,12.7605724,17953.89,355.99,17.96,150.61,2.33,158.98,2.89,16,0.21,28.2,9.95,5.08,0.12,0.36,A2O,35.25267,115.54069,7020.939999999999,6.42E+06,4.01E+05,3.43E+05,1.19E+06,1.36E+06,4.01E+05,2.34E-01,2.94E-01,8.90E+01,2.40E+01,3.71E+00,1.33E+06,2.24E+06,6.64E+03,1.82E+06,2.08E+06,79.89112671231123,77.55804187974066,12.451182159481567,22.18011150324021,6.41634872,2725672298.124472,3206673291.911144,4043412379.304381,2214109.41,2530410.76
1928,6.01644,3707.1,209.08,13.99,74.8,5.98,130.02,7.92,30.75,0.38,35.34,8.74,2.88,0.2,0.27,A2O,35.58305,115.98618,7028.92,2.26E+06,8.29E+04,7.50E+04,2.61E+05,2.98E+05,8.29E+04,1.47E-01,2.78E-01,5.23E+01,3.00E+01,1.74E+00,3.11E+05,8.65E+05,2.94E+03,4.26E+05,4.86E+05,63.213713929200054,69.76577677004016,29.158944546231726,5.174164077295199,2.167901304828583,729136274.5505922,857807381.8242263,1082220773.5120614,592607.18,677265.35
